"Date","Price","Open","High","Low","Vol","Change %"
"10/29/2024","1.3925","1.3889","1.3930","1.3876","","0.26%"
"10/28/2024","1.3889","1.3891","1.3908","1.3878","","-0.01%"
"10/25/2024","1.3891","1.3854","1.3897","1.3835","","0.27%"
"10/24/2024","1.3854","1.3836","1.3868","1.3810","","0.13%"
"10/23/2024","1.3836","1.3818","1.3862","1.3813","","0.14%"
"10/22/2024","1.3816","1.3831","1.3838","1.3811","","-0.11%"
"10/21/2024","1.3831","1.3801","1.3849","1.3797","","0.22%"
"10/18/2024","1.3800","1.3794","1.3815","1.3782","","0.04%"
"10/17/2024","1.3794","1.3751","1.3801","1.3744","","0.32%"
"10/16/2024","1.3750","1.3774","1.3793","1.3747","","-0.17%"
"10/15/2024","1.3774","1.3795","1.3838","1.3767","","-0.15%"
"10/14/2024","1.3795","1.3759","1.3805","1.3755","","0.24%"
"10/11/2024","1.3762","1.3738","1.3783","1.3723","","0.17%"
"10/10/2024","1.3739","1.3710","1.3775","1.3695","","0.21%"
"10/09/2024","1.3710","1.3648","1.3720","1.3642","","0.46%"
"10/08/2024","1.3647","1.3620","1.3677","1.3610","","0.23%"
"10/07/2024","1.3616","1.3568","1.3641","1.3566","","0.33%"
"10/04/2024","1.3571","1.3555","1.3592","1.3543","","0.14%"
"10/03/2024","1.3552","1.3502","1.3561","1.3494","","0.38%"
"10/02/2024","1.3501","1.3491","1.3512","1.3471","","0.08%"
"10/01/2024","1.3490","1.3525","1.3541","1.3480","","-0.25%"
"09/30/2024","1.3524","1.3514","1.3539","1.3489","","0.09%"
"09/27/2024","1.3512","1.3465","1.3528","1.3463","","0.36%"
"09/26/2024","1.3464","1.3485","1.3491","1.3457","","-0.14%"
"09/25/2024","1.3483","1.3432","1.3488","1.3419","","0.39%"
"09/24/2024","1.3430","1.3539","1.3542","1.3429","","-0.81%"
"09/23/2024","1.3540","1.3562","1.3584","1.3486","","-0.21%"
"09/20/2024","1.3569","1.3558","1.3591","1.3541","","0.08%"
"09/19/2024","1.3558","1.3604","1.3649","1.3532","","-0.34%"
"09/18/2024","1.3604","1.3596","1.3623","1.3541","","0.05%"
"09/17/2024","1.3597","1.3584","1.3618","1.3579","","0.09%"
"09/16/2024","1.3585","1.3592","1.3609","1.3565","","0.00%"
"09/13/2024","1.3585","1.3582","1.3601","1.3564","","0.04%"
"09/12/2024","1.3580","1.3576","1.3606","1.3564","","0.07%"
"09/11/2024","1.3571","1.3609","1.3624","1.3565","","-0.29%"
"09/10/2024","1.3610","1.3557","1.3616","1.3554","","0.40%"
"09/09/2024","1.3556","1.3570","1.3579","1.3545","","-0.11%"
"09/06/2024","1.3571","1.3505","1.3584","1.3465","","0.50%"
"09/05/2024","1.3503","1.3507","1.3527","1.3501","","-0.02%"
"09/04/2024","1.3506","1.3554","1.3567","1.3499","","-0.32%"
"09/03/2024","1.3550","1.3493","1.3563","1.3491","","0.44%"
"09/02/2024","1.3491","1.3489","1.3506","1.3480","","-0.01%"
"08/30/2024","1.3493","1.3484","1.3511","1.3464","","0.07%"
"08/29/2024","1.3483","1.3479","1.3492","1.3449","","0.02%"
"08/28/2024","1.3480","1.3447","1.3489","1.3440","","0.30%"
"08/27/2024","1.3440","1.3487","1.3490","1.3442","","-0.35%"
"08/26/2024","1.3487","1.3506","1.3518","1.3462","","-0.15%"
"08/23/2024","1.3507","1.3617","1.3619","1.3498","","-0.79%"
"08/22/2024","1.3615","1.3595","1.3620","1.3570","","0.15%"
"08/21/2024","1.3595","1.3621","1.3626","1.3575","","-0.17%"
"08/20/2024","1.3618","1.3635","1.3643","1.3604","","-0.12%"
"08/19/2024","1.3634","1.3694","1.3694","1.3628","","-0.31%"
"08/16/2024","1.3676","1.3730","1.3738","1.3677","","-0.38%"
"08/15/2024","1.3728","1.3717","1.3740","1.3694","","0.10%"
"08/14/2024","1.3714","1.3705","1.3726","1.3688","","0.07%"
"08/13/2024","1.3704","1.3744","1.3749","1.3705","","-0.27%"
"08/12/2024","1.3741","1.3730","1.3749","1.3717","","0.09%"
"08/09/2024","1.3729","1.3732","1.3752","1.3717","","0.01%"
"08/08/2024","1.3728","1.3759","1.3766","1.3726","","-0.22%"
"08/07/2024","1.3758","1.3785","1.3792","1.3721","","-0.20%"
"08/06/2024","1.3785","1.3825","1.3857","1.3756","","-0.27%"
"08/05/2024","1.3823","1.3872","1.3947","1.3809","","-0.35%"
"08/02/2024","1.3872","1.3875","1.3889","1.3833","","-0.01%"
"08/01/2024","1.3873","1.3807","1.3891","1.3796","","0.47%"
"07/31/2024","1.3808","1.3849","1.3859","1.3787","","-0.28%"
"07/30/2024","1.3847","1.3852","1.3866","1.3837","","-0.03%"
"07/29/2024","1.3851","1.3834","1.3866","1.3815","","0.13%"
"07/26/2024","1.3833","1.3825","1.3850","1.3806","","0.07%"
"07/25/2024","1.3824","1.3808","1.3850","1.3796","","0.12%"
"07/24/2024","1.3807","1.3785","1.3817","1.3777","","0.19%"
"07/23/2024","1.3781","1.3755","1.3787","1.3751","","0.22%"
"07/22/2024","1.3751","1.3727","1.3776","1.3705","","0.14%"
"07/19/2024","1.3732","1.3706","1.3749","1.3700","","0.20%"
"07/18/2024","1.3704","1.3683","1.3720","1.3670","","0.16%"
"07/17/2024","1.3682","1.3673","1.3703","1.3656","","0.08%"
"07/16/2024","1.3671","1.3684","1.3709","1.3665","","-0.08%"
"07/15/2024","1.3682","1.3633","1.3690","1.3630","","0.37%"
"07/12/2024","1.3631","1.3633","1.3641","1.3610","","-0.01%"
"07/11/2024","1.3632","1.3620","1.3649","1.3588","","0.10%"
"07/10/2024","1.3618","1.3636","1.3644","1.3607","","-0.12%"
"07/09/2024","1.3634","1.3639","1.3649","1.3627","","-0.01%"
"07/08/2024","1.3635","1.3641","1.3649","1.3623","","-0.03%"
"07/05/2024","1.3639","1.3613","1.3655","1.3601","","0.19%"
"07/04/2024","1.3613","1.3637","1.3643","1.3607","","-0.18%"
"07/03/2024","1.3638","1.3678","1.3688","1.3617","","-0.28%"
"07/02/2024","1.3676","1.3737","1.3757","1.3666","","-0.43%"
"07/01/2024","1.3735","1.3678","1.3750","1.3662","","0.42%"
"06/28/2024","1.3677","1.3701","1.3736","1.3654","","-0.18%"
"06/27/2024","1.3701","1.3701","1.3714","1.3676","","0.01%"
"06/26/2024","1.3700","1.3657","1.3709","1.3649","","0.33%"
"06/25/2024","1.3655","1.3657","1.3682","1.3629","","0.01%"
"06/24/2024","1.3654","1.3696","1.3709","1.3649","","-0.29%"
"06/21/2024","1.3694","1.3687","1.3719","1.3673","","0.05%"
"06/20/2024","1.3687","1.3707","1.3722","1.3681","","-0.13%"
"06/19/2024","1.3705","1.3718","1.3727","1.3697","","-0.09%"
"06/18/2024","1.3717","1.3724","1.3758","1.3708","","-0.04%"
"06/17/2024","1.3722","1.3736","1.3766","1.3720","","-0.09%"
"06/14/2024","1.3735","1.3745","1.3780","1.3727","","-0.05%"
"06/13/2024","1.3742","1.3723","1.3765","1.3714","","0.15%"
"06/12/2024","1.3722","1.3759","1.3762","1.3679","","-0.25%"
"06/11/2024","1.3757","1.3759","1.3793","1.3747","","-0.01%"
"06/10/2024","1.3758","1.3755","1.3783","1.3753","","-0.04%"
"06/07/2024","1.3764","1.3670","1.3769","1.3662","","0.70%"
"06/06/2024","1.3668","1.3695","1.3711","1.3664","","-0.18%"
"06/05/2024","1.3692","1.3678","1.3743","1.3664","","0.10%"
"06/04/2024","1.3678","1.3628","1.3700","1.3620","","0.37%"
"06/03/2024","1.3627","1.3628","1.3670","1.3602","","0.01%"
"05/31/2024","1.3626","1.3679","1.3691","1.3618","","-0.38%"
"05/30/2024","1.3678","1.3718","1.3736","1.3659","","-0.26%"
"05/29/2024","1.3714","1.3644","1.3721","1.3641","","0.51%"
"05/28/2024","1.3645","1.3637","1.3655","1.3614","","0.10%"
"05/27/2024","1.3632","1.3668","1.3673","1.3628","","-0.21%"
"05/24/2024","1.3661","1.3734","1.3740","1.3647","","-0.50%"
"05/23/2024","1.3729","1.3694","1.3745","1.3656","","0.26%"
"05/22/2024","1.3693","1.3655","1.3700","1.3623","","0.30%"
"05/21/2024","1.3652","1.3625","1.3677","1.3614","","0.22%"
"05/20/2024","1.3622","1.3612","1.3636","1.3595","","0.10%"
"05/17/2024","1.3609","1.3618","1.3645","1.3600","","-0.07%"
"05/16/2024","1.3618","1.3602","1.3642","1.3589","","0.12%"
"05/15/2024","1.3601","1.3649","1.3662","1.3591","","-0.34%"
"05/14/2024","1.3647","1.3667","1.3692","1.3633","","-0.13%"
"05/13/2024","1.3665","1.3672","1.3691","1.3659","","-0.04%"
"05/10/2024","1.3670","1.3677","1.3692","1.3634","","-0.04%"
"05/09/2024","1.3675","1.3722","1.3739","1.3673","","-0.33%"
"05/08/2024","1.3720","1.3727","1.3764","1.3716","","-0.02%"
"05/07/2024","1.3723","1.3661","1.3743","1.3659","","0.45%"
"05/06/2024","1.3662","1.3686","1.3699","1.3647","","-0.16%"
"05/03/2024","1.3684","1.3672","1.3693","1.3609","","0.10%"
"05/02/2024","1.3671","1.3739","1.3743","1.3669","","-0.49%"
"05/01/2024","1.3738","1.3779","1.3785","1.3702","","-0.28%"
"04/30/2024","1.3777","1.3662","1.3785","1.3657","","0.86%"
"04/29/2024","1.3659","1.3671","1.3678","1.3631","","-0.07%"
"04/26/2024","1.3669","1.3654","1.3697","1.3635","","0.10%"
"04/25/2024","1.3655","1.3698","1.3732","1.3649","","-0.33%"
"04/24/2024","1.3700","1.3664","1.3730","1.3654","","0.29%"
"04/23/2024","1.3661","1.3700","1.3715","1.3655","","-0.27%"
"04/22/2024","1.3698","1.3757","1.3757","1.3686","","-0.40%"
"04/19/2024","1.3753","1.3767","1.3806","1.3722","","-0.09%"
"04/18/2024","1.3765","1.3773","1.3783","1.3741","","-0.04%"
"04/17/2024","1.3770","1.3829","1.3838","1.3758","","-0.42%"
"04/16/2024","1.3828","1.3788","1.3848","1.3773","","0.30%"
"04/15/2024","1.3786","1.3776","1.3795","1.3724","","0.10%"
"04/12/2024","1.3772","1.3689","1.3788","1.3681","","0.61%"
"04/11/2024","1.3689","1.3681","1.3727","1.3661","","0.10%"
"04/10/2024","1.3675","1.3572","1.3704","1.3555","","0.80%"
"04/09/2024","1.3567","1.3578","1.3600","1.3547","","-0.03%"
"04/08/2024","1.3571","1.3590","1.3618","1.3569","","-0.13%"
"04/05/2024","1.3588","1.3543","1.3649","1.3540","","0.35%"
"04/04/2024","1.3541","1.3527","1.3561","1.3477","","0.11%"
"04/03/2024","1.3526","1.3568","1.3590","1.3511","","-0.28%"
"04/02/2024","1.3564","1.3571","1.3585","1.3555","","-0.04%"
"04/01/2024","1.3569","1.3545","1.3588","1.3514","","0.24%"
"03/29/2024","1.3537","1.3541","1.3563","1.3531","","-0.01%"
"03/28/2024","1.3538","1.3568","1.3615","1.3524","","-0.21%"
"03/27/2024","1.3567","1.3585","1.3609","1.3564","","-0.11%"
"03/26/2024","1.3582","1.3586","1.3592","1.3551","","-0.01%"
"03/25/2024","1.3584","1.3599","1.3615","1.3569","","-0.16%"
"03/22/2024","1.3606","1.3532","1.3615","1.3518","","0.57%"
"03/21/2024","1.3529","1.3492","1.3543","1.3455","","0.29%"
"03/20/2024","1.3490","1.3566","1.3606","1.3481","","-0.54%"
"03/19/2024","1.3563","1.3532","1.3615","1.3530","","0.24%"
"03/18/2024","1.3531","1.3540","1.3553","1.3520","","-0.07%"
"03/15/2024","1.3541","1.3533","1.3553","1.3509","","0.07%"
"03/14/2024","1.3532","1.3470","1.3542","1.3458","","0.47%"
"03/13/2024","1.3469","1.3493","1.3500","1.3458","","-0.14%"
"03/12/2024","1.3488","1.3485","1.3527","1.3466","","0.04%"
"03/11/2024","1.3482","1.3479","1.3511","1.3469","","0.03%"
"03/08/2024","1.3478","1.3459","1.3499","1.3419","","0.16%"
"03/07/2024","1.3457","1.3519","1.3527","1.3453","","-0.41%"
"03/06/2024","1.3513","1.3592","1.3601","1.3498","","-0.56%"
"03/05/2024","1.3589","1.3573","1.3606","1.3555","","0.13%"
"03/04/2024","1.3571","1.3558","1.3585","1.3544","","0.10%"
"03/01/2024","1.3557","1.3573","1.3602","1.3544","","-0.13%"
"02/29/2024","1.3575","1.3580","1.3599","1.3540","","-0.01%"
"02/28/2024","1.3576","1.3528","1.3607","1.3523","","0.36%"
"02/27/2024","1.3527","1.3509","1.3541","1.3484","","0.15%"
"02/26/2024","1.3507","1.3503","1.3530","1.3494","","0.01%"
"02/23/2024","1.3505","1.3482","1.3519","1.3461","","0.18%"
"02/22/2024","1.3481","1.3505","1.3510","1.3440","","-0.18%"
"02/21/2024","1.3505","1.3524","1.3537","1.3493","","-0.11%"
"02/20/2024","1.3520","1.3491","1.3531","1.3471","","0.24%"
"02/19/2024","1.3488","1.3486","1.3498","1.3467","","0.03%"
"02/16/2024","1.3484","1.3466","1.3509","1.3460","","0.16%"
"02/15/2024","1.3463","1.3545","1.3553","1.3463","","-0.58%"
"02/14/2024","1.3541","1.3563","1.3574","1.3530","","-0.16%"
"02/13/2024","1.3563","1.3451","1.3587","1.3439","","0.86%"
"02/12/2024","1.3448","1.3461","1.3477","1.3429","","-0.07%"
"02/09/2024","1.3458","1.3463","1.3483","1.3412","","0.02%"
"02/08/2024","1.3455","1.3463","1.3494","1.3448","","-0.06%"
"02/07/2024","1.3463","1.3494","1.3496","1.3454","","-0.21%"
"02/06/2024","1.3492","1.3540","1.3546","1.3476","","-0.34%"
"02/05/2024","1.3538","1.3466","1.3545","1.3452","","0.58%"
"02/02/2024","1.3460","1.3386","1.3477","1.3364","","0.57%"
"02/01/2024","1.3384","1.3436","1.3465","1.3367","","-0.37%"
"01/31/2024","1.3434","1.3400","1.3448","1.3357","","0.28%"
"01/30/2024","1.3396","1.3419","1.3448","1.3395","","-0.11%"
"01/29/2024","1.3411","1.3456","1.3467","1.3409","","-0.29%"
"01/26/2024","1.3450","1.3475","1.3484","1.3413","","-0.18%"
"01/25/2024","1.3474","1.3519","1.3536","1.3468","","-0.35%"
"01/24/2024","1.3522","1.3462","1.3530","1.3429","","0.46%"
"01/23/2024","1.3460","1.3480","1.3493","1.3452","","-0.13%"
"01/22/2024","1.3478","1.3438","1.3484","1.3414","","0.36%"
"01/19/2024","1.3429","1.3486","1.3504","1.3426","","-0.42%"
"01/18/2024","1.3485","1.3507","1.3527","1.3479","","-0.15%"
"01/17/2024","1.3505","1.3491","1.3543","1.3479","","0.10%"
"01/16/2024","1.3492","1.3427","1.3503","1.3423","","0.51%"
"01/15/2024","1.3424","1.3408","1.3449","1.3382","","0.12%"
"01/12/2024","1.3408","1.3395","1.3412","1.3342","","0.13%"
"01/11/2024","1.3391","1.3380","1.3444","1.3350","","0.10%"
"01/10/2024","1.3378","1.3391","1.3397","1.3364","","-0.08%"
"01/09/2024","1.3389","1.3347","1.3416","1.3340","","0.33%"
"01/08/2024","1.3345","1.3347","1.3406","1.3344","","-0.13%"
"01/05/2024","1.3362","1.3349","1.3400","1.3286","","0.11%"
"01/04/2024","1.3347","1.3359","1.3367","1.3316","","-0.04%"
"01/03/2024","1.3353","1.3324","1.3373","1.3317","","0.23%"
"01/02/2024","1.3322","1.3239","1.3335","1.3228","","0.65%"
"01/01/2024","1.3236","1.3247","1.3254","1.3234","","-0.07%"
"12/29/2023","1.3245","1.3229","1.3266","1.3177","","0.12%"
"12/28/2023","1.3229","1.3208","1.3237","1.3181","","0.17%"
"12/27/2023","1.3207","1.3201","1.3221","1.3176","","0.09%"
"12/26/2023","1.3195","1.3257","1.3263","1.3194","","-0.42%"
"12/25/2023","1.3250","1.3267","1.3299","1.3250","","-0.17%"
"12/22/2023","1.3272","1.3282","1.3294","1.3218","","-0.06%"
"12/21/2023","1.3280","1.3370","1.3373","1.3275","","-0.64%"
"12/20/2023","1.3366","1.3333","1.3372","1.3311","","0.26%"
"12/19/2023","1.3331","1.3398","1.3402","1.3332","","-0.48%"
"12/18/2023","1.3395","1.3364","1.3411","1.3349","","0.10%"
"12/15/2023","1.3381","1.3409","1.3416","1.3349","","-0.19%"
"12/14/2023","1.3406","1.3515","1.3521","1.3393","","-0.82%"
"12/13/2023","1.3517","1.3590","1.3610","1.3494","","-0.52%"
"12/12/2023","1.3588","1.3575","1.3620","1.3544","","0.10%"
"12/11/2023","1.3574","1.3585","1.3606","1.3549","","-0.10%"
"12/08/2023","1.3587","1.3598","1.3611","1.3549","","-0.05%"
"12/07/2023","1.3594","1.3594","1.3621","1.3583","","0.02%"
"12/06/2023","1.3591","1.3589","1.3598","1.3548","","0.01%"
